ID,Age (1999),Income (1999),Tenure (1999),District (1999),Profit (1999),Profit (2000),Online (1999),Online (2000),Billpay (1999),Billpay (2000)
1,,,6.33,1200,21,,0,,0,
2,6,3,29.5,1200,-6,-32,0,0,0,0
3,5,5,26.41,1100,-49,-22,1,1,0,0
4,,,2.25,1200,-4,,0,,0,
5,2,9,9.91,1200,-61,-4,0,0,0,0
6,,3,2.33,1300,-38,14,0,0,0,0
7,3,1,8.41,1300,-19,0,0,0,0,0
8,5,8,7.33,1200,59,-65,0,0,0,0
9,4,9,15.33,1200,493,855,0,0,0,0
10,6,8,4.33,1100,-158,-20,0,0,0,0
11,6,3,13.5,1200,395,67,0,0,0,0
12,6,1,6.25,1200,-62,-60,0,0,0,0
13,7,6,17.41,1200,-124,-128,0,0,0,0
14,,,0.58,1200,32,,0,,0,
15,4,9,14.66,1200,-28,71,0,1,0,1
16,4,7,26.66,1100,632,808,0,0,0,0
17,3,8,9,1200,-135,-120,1,0,0,0
18,,5,9.41,1200,-60,-60,0,0,0,0
19,3,7,4.16,1200,-92,-80,0,0,0,0
20,4,8,22.16,1200,68,1,0,0,0,0
21,4,7,8.66,1300,26,224,0,0,0,0
22,,,2.41,1200,-28,,0,,0,
23,3,4,4.75,1200,-6,-22,0,1,0,1
24,,,6.83,1100,43,42,0,0,0,0
25,4,6,18.91,1300,698,680,0,0,0,0
26,,,1.66,1200,-50,,0,,0,
27,4,6,8.66,1200,-27,-33,0,0,0,0
28,,,6.33,1200,-14,,1,,1,
29,,,4.83,1200,-36,,0,,0,
30,4,3,22.5,1300,14,,1,,0,
31,6,7,8.41,1200,-18,-21,0,0,0,0
32,5,8,6.25,1200,-130,-112,0,0,0,0
33,7,3,14.08,1200,-71,-28,0,0,0,0
34,4,6,29.5,1200,291,614,0,0,0,0
35,4,,5,1200,7,-19,0,0,0,0
36,2,1,2.5,1200,-32,1,0,0,0,0
37,,,31.83,1200,533,,0,,0,
38,4,7,8.58,1200,88,7,0,0,0,0
39,,,4.33,1200,-162,-83,0,0,0,0
40,2,6,6.58,1200,900,534,0,0,0,0
41,,,13.83,1200,383,,0,,0,
42,4,4,20.41,1300,-95,-111,1,1,0,0
43,4,7,17.91,1200,88,-116,1,1,0,0
44,2,7,6.16,1200,-49,259,0,0,0,0
45,,,2.5,1200,-8,-31,0,0,0,0
46,5,6,8.75,1200,32,63,0,0,0,0
47,,,0.16,1200,259,795,0,0,0,0
48,6,9,1.16,1200,512,-45,0,0,0,0
49,,,1.66,1200,-27,,0,,0,
50,,,40,1100,-1,37,0,0,0,0
51,4,7,8.75,1200,313,258,0,0,0,0
52,7,3,19.16,1200,205,136,0,0,0,0
53,,,0.75,1100,5,,1,,0,
54,5,7,7.33,1200,367,387,0,0,0,0
55,2,6,6.58,1300,-48,-45,1,1,0,0
56,5,3,29,1200,97,141,0,0,0,0
57,6,6,22.41,1300,316,336,0,0,0,0
